"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s2)"
0.05,0.231182,-0.000571666666667,-0.00694469135802
0.1,0.231182,-0.00114333333333,-0.0028212808642
0.15,0.2310105,-0.000686,-0.00181027777778
0.2,0.231182,-0.00133388888889,-0.000645771604938
0.25,0.230839,-0.00123861111111,0.00897728395062
0.3,0.2310105,-0.000190555555556,0.0129789506173
0.35,0.230839,0.000381111111111,0.0103217592593
0.4,0.2310105,0.00152444444444,-0.00328179012346
0.45,0.231182,-0.000476388888889,-0.00793981481482
0.5,0.230839,-0.000476388888889,0.00730462962963
0.55,0.2310105,0.00142916666667,0.00476388888889
0.6,0.231182,0.000381111111111,-0.0044462962963
0.65,0.2310105,-0.000190555555556,0.00312299382716
0.7,0.2310105,0.00152444444444,-0.00280540123457
0.75,0.2313535,9.52777777778E-05,-0.0168324074074
0.8,0.2310105,-0.00114333333333,-0.0142916666667
0.85,0.231182,-0.00161972222222,-0.00492268518519
0.9,0.230839,-0.00161972222222,0.00666944444444
0.95,0.2310105,-0.00104805555556,0.0170970679012
1,0.2306675,0.000381111111111,0.0195848765432
1.05,0.2310105,0.00238194444444,-0.00174675925926
1.1,0.231182,-0.000381111111111,-0.00947484567901
1.15,0.230839,-0.000952777777778,0.0313887345679
1.2,0.2310105,0.00181027777778,0.0802979938272
1.25,0.230839,0.00762222222222,0.0877084876543
1.3,0.2310105,0.0214375,-0.0802979938272
1.35,0.2347835,0.0042875,-0.254920987654
1.4,0.2330685,-0.0348716666667,0.173352623457
1.45,0.227752,-0.00543083333333,1.11681435185
1.5,0.229467,0.0888941666667,1.84648333333
1.55,0.235984,0.204751944444,2.0278287037
1.6,0.250047,0.3164175,1.64370046296
1.65,0.2697695,0.382445,0.955530246914
1.7,0.2903495,0.4038825,0.397361265432
1.75,0.3105865,0.4090275,0.106605246914
1.8,0.331338,0.408836944444,-0.0254603395062
1.85,0.3517465,0.403501388889,-0.0728875
1.9,0.371469,0.400547777778,-0.0862793209876
1.95,0.3918775,0.396355555556,-0.105758333333
2,0.4116,0.385303333333,-0.0381111111111
2.05,0.4296075,0.388638055556,0.0932663580247
2.1,0.450016,0.400261944444,0.12560787037
2.15,0.4700815,0.405216388889,0.0799274691358
2.2,0.4906615,0.407217222222,0.0450981481481
2.25,0.5108985,0.407503055556,0.0499149691358
2.3,0.531307,0.409980277778,0.0861734567901
2.35,0.5513725,0.420079722222,0.048962191358
2.4,0.573839,0.420651388889,-0.0853794753086
2.45,0.5942475,0.406836111111,-0.138840895062
2.5,0.61397,0.40131,-0.0903550925926
2.55,0.634207,0.399023333333,-0.0476918209877
2.6,0.6539295,0.397308333333,-0.0164618827161
2.65,0.6738235,0.397784722222,-0.000476388888894
2.7,0.6937175,0.397975277778,-0.000846913580247
2.75,0.7136115,0.398356388889,-0.0142387345679
2.8,0.733677,0.396450833333,-0.0268365740741
2.85,0.753228,0.394926388889,-0.026624845679
2.9,0.773122,0.393973611111,-0.0277893518519
2.95,0.792673,0.392353888889,-0.0302771604938
3,0.8123955,0.390353055556,-0.0248780864197
3.05,0.8316035,0.389781388889,-0.0200612654321
3.1,0.851326,0.389971944444,-0.0425574074074
3.15,0.870877,0.385303333333,-0.0606072530864
3.2,0.889742,0.382445,-0.0504442901235
3.25,0.9091215,0.379777222222,-0.0273658950617
3.3,0.9276435,0.379015,0.00899845679012
3.35,0.9468515,0.3815875,0.0264660493827
3.4,0.965888,0.382730833333,0.0215433641975
3.45,0.985096,0.384350555556,0.00206435185185
3.5,1.0044755,0.382921388889,-0.0195319444444
3.55,1.0233405,0.381968611111,-0.0330296296296
3.6,1.04272,0.3798725,-0.047850617284
3.65,1.0614135,0.3764425,-0.0477447530864
3.7,1.0802785,0.374441666667,-0.0363114197531
3.75,1.0988005,0.373393611111,-0.0339824074074
3.8,1.1176655,0.371583333333,-0.039487345679
3.85,1.136016,0.368915555556,-0.0340353395062
3.9,1.154538,0.36701,-0.00947484567901
3.95,1.1725455,0.367962777778,0.0130742283951
4,1.191239,0.370630555556,-0.00486975308642
4.05,1.2099325,0.367772222222,-0.0293243827161
4.1,1.22794,0.365961944444,-0.0229725308642
4.15,1.246462,0.365009166667,-4.4408920985E-15
4.2,1.2644695,0.365104444444,0.0384287037037
4.25,1.28282,0.368058055556,0.0761163580247
4.3,1.3008275,0.377490555556,0.023925308642
4.35,1.321236,0.374918055556,-0.105758333333
4.4,1.3389005,0.361769722222,-0.148686265432
4.45,1.356908,0.356338888889,-0.126190123457
4.5,1.374401,0.351384444444,-0.118673765432
4.55,1.392237,0.345953611111,-0.116238888889
4.6,1.40973,0.330709166667,0.0167265432099
4.65,1.4232785,0.347954444444,0.114862654321
4.7,1.4445445,0.363770555556,-0.171658796296
4.75,1.4623805,0.331280833333,-0.49261787037
4.8,1.476958,0.304603055556,-0.637900601852
4.85,1.493422,0.265348611111,-0.688747175926
4.9,1.5038835,0.224322,-0.517278935185
4.95,1.5141735,0.211469027778,-0.305741095679
5,1.5244635,0.205990555556,-0.181842932099
